ParentLocation,Location,Population using safely managed drinking-water services (%)
Africa,Algeria,73.66
Africa,Angola,
Africa,Benin,
Africa,Botswana,
Africa,Burkina Faso,
Africa,Burundi,
Africa,Cabo Verde,
Africa,Cameroon,
Africa,Central African Republic,7.575
Africa,Chad,5.606875
Africa,Comoros,
Africa,Congo,35.450625
Africa,Côte d’Ivoire,34.553125
Africa,Democratic Republic of the Congo,12.97
Africa,Equatorial Guinea,
Africa,Eritrea,
Africa,Eswatini,
Africa,Ethiopia,7.140625
Africa,Gabon,
Africa,Gambia,31.224375
Africa,Ghana,22.185625
Africa,Guinea,
Africa,Guinea-Bissau,20.105625
Africa,Kenya,
Africa,Lesotho,15.977500000000001
Africa,Liberia,
Africa,Madagascar,11.89375
Africa,Malawi,
Africa,Mali,
Africa,Mauritania,
Africa,Mauritius,
Africa,Mozambique,
Africa,Namibia,
Africa,Niger,
Africa,Nigeria,16.8725
Africa,Rwanda,7.15625
Africa,Sao Tome and Principe,29.696875
Africa,Senegal,
Africa,Seychelles,
Africa,Sierra Leone,6.68
Africa,South Africa,
Africa,South Sudan,
Africa,Togo,13.378125
Africa,Uganda,6.8875
Africa,United Republic of Tanzania,
Africa,Zambia,
Africa,Zimbabwe,32.049375
Americas,Anguilla,
Americas,Antigua and Barbuda,
Americas,Argentina,
Americas,Bahamas,
Americas,Barbados,
Americas,Belize,
Americas,Bolivia (Plurinational State of),
Americas,Brazil,78.640625
Americas,Canada,98.423125
Americas,Chile,95.329375
Americas,Colombia,70.943125
Americas,Costa Rica,78.5175
Americas,Cuba,
Americas,Dominica,
Americas,Dominican Republic,
Americas,Ecuador,61.861875
Americas,El Salvador,
Americas,Grenada,84.43375
Americas,Guatemala,50.47
Americas,Guyana,
Americas,Haiti,
Americas,Honduras,
Americas,Jamaica,
Americas,Mexico,40.844375
Americas,Nicaragua,50.55375
Americas,Panama,
Americas,Paraguay,56.11875
Americas,Peru,47.621875
Americas,Saint Kitts and Nevis,
Americas,Saint Lucia,
Americas,Saint Vincent and the Grenadines,
Americas,Suriname,53.17125
Americas,Trinidad and Tobago,
Americas,United States of America,95.63272727272728
Americas,Uruguay,
Americas,Venezuela (Bolivarian Republic of),
Eastern Mediterranean,Afghanistan,16.724375
Eastern Mediterranean,Bahrain,98.930625
Eastern Mediterranean,Djibouti,
Eastern Mediterranean,Egypt,
Eastern Mediterranean,Iran (Islamic Republic of),91.873125
Eastern Mediterranean,Iraq,53.815
Eastern Mediterranean,Jordan,60.940625
Eastern Mediterranean,Kuwait,100.0
Eastern Mediterranean,Lebanon,45.614375
Eastern Mediterranean,Libya,
Eastern Mediterranean,Morocco,61.769375
Eastern Mediterranean,Occupied Palestinian territory,75.61
Eastern Mediterranean,Oman,85.551875
Eastern Mediterranean,Pakistan,37.191875
Eastern Mediterranean,Qatar,96.54375
Eastern Mediterranean,Saudi Arabia,
Eastern Mediterranean,Somalia,
Eastern Mediterranean,Sudan,
Eastern Mediterranean,Syrian Arab Republic,
Eastern Mediterranean,Tunisia,75.759375
Eastern Mediterranean,United Arab Emirates,
Eastern Mediterranean,Yemen,
Europe,Albania,58.218125
Europe,Andorra,90.64
Europe,Armenia,81.2975
Europe,Austria,97.91875
Europe,Azerbaijan,71.703125
Europe,Belarus,87.125625
Europe,Belgium,99.485625
